"","IndicatorID","GridID","UnitID","NSTC100","Period","ES","SD","N","N_OBS","GTC","STC","CategoryID","Name","Code","Parameters","Units","YearMin","YearMax","MonthMin","MonthMax","DepthMin","DepthMax","Metric","Response","Applied","Comments","ACDEV","GTC_HM","GTC_ML","STC_HM","STC_ML","GSC_HM","GSC_ML","SSC_HM","SSC_ML","IW","ET","EQR_HG","EQR_GM","EQR_MP","EQR_PB","W"
"418",1,4938,24,NA,20062011,11.055,1.35057395206631,2,2,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,13.13193913,NA,NA,NA,NA,NA
"419",1,4939,21,NA,20062006,18.7233333333333,NA,1,1,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"420",1,4939,24,NA,20062006,11.25,NA,1,1,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,13.13193913,NA,NA,NA,NA,NA
"421",1,4940,21,NA,20062014,24.7810416666667,5.48412991301061,8,19,0,12.5,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"422",1,4941,21,NA,20062014,37.2296296296296,7.64912631302579,9,29,0,16.6666666666667,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"423",1,5013,24,NA,20062014,8.06708333333333,5.0149992285049,8,16,0,6.25,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,13.13193913,NA,NA,NA,NA,NA
"424",1,5015,21,NA,20062014,33.8391666666667,9.49600634519251,8,13,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"425",1,5088,24,NA,20112013,6.29166666666667,1.83641180929914,3,5,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,13.13193913,NA,NA,NA,NA,NA
"426",1,5090,21,NA,20062014,23.5866319444444,4.78190909985486,8,17,0,12.5,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"427",1,5091,21,NA,20062014,30.7696111111111,5.11648758915723,9,26,0,33.3333333333333,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
"428",1,5165,21,NA,20062006,23.1566666666667,NA,1,1,0,0,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,23.3596426,NA,NA,NA,NA,NA
