"","IndicatorID","UnitID","GridID","Period","ES","SD","N","N_OBS","GTC","STC"
"1931",2,61,1168,20082014,1.34154761904762,1.09524671968654,7,19,7.14285714285714,0
"1932",2,61,1169,20082014,0.962142857142857,0.306431770373406,7,23,0,0
"1933",2,61,1203,20082014,1.18452380952381,0.27627099264248,7,17,0,0
"1934",2,61,1204,20082014,0.909200680272109,0.15345809870709,7,37,28.5714285714286,7.14285714285714
"1935",2,61,1205,20082014,1.13,0.62315579765268,7,22,7.14285714285714,0
"1936",2,61,1206,20082014,1.09416666666667,0.306466193531648,7,19,0,0
"1937",2,61,1207,20082014,0.795,0.355762092790486,7,13,0,0
"1938",2,61,1208,20062014,0.804648148148148,0.277802932846261,9,46,22.2222222222222,77.7777777777778
"1939",2,61,1209,20082014,1.246,0.400724344156928,5,5,0,0
"1940",2,61,1210,20062007,0.705,0.00707106781186548,2,3,0,0
"1941",2,61,1241,20082013,1.024375,0.293383015442271,6,22,16.6666666666667,0
"1942",2,61,1242,20082014,0.943095238095238,0.260374425145484,7,12,0,0
"1943",2,61,1243,20092012,0.776666666666667,0.191398362932741,3,6,0,0
"1944",2,61,1247,20062014,0.810592592592593,0.306346335314287,9,26,0,0
"1945",2,61,1248,20062014,0.79962962962963,0.259348513075683,9,23,0,0
"1946",2,61,1249,20062014,0.773185185185185,0.146412859095921,9,23,0,0
"1947",2,61,1279,20102011,0.7725,0.11667261889578,2,3,0,0
"1948",4,61,1052,20092013,5.56428571428571,2.93954390464693,2,3,0,0
"1949",4,61,1053,20122014,7.24285714285714,0.860469734078605,3,3,0,0
"1950",4,61,1090,20082014,8.22047619047619,0.699011936289238,6,24,16.6666666666667,8.33333333333333
"1951",4,61,1091,20062014,7.01857142857143,1.64776270705934,7,17,0,0
"1952",4,61,1092,20092014,6.99333333333333,1.75558389999794,6,12,0,0
"1953",4,61,1128,20062014,7.19404761904762,1.36927223830217,6,12,0,0
"1954",4,61,1129,20062014,7.95871428571429,0.710274522955163,5,15,10,10
"1955",4,61,1130,20062006,8.42857142857143,NA,1,2,0,0
"1956",4,61,1131,20062014,7.57551020408163,2.06434378375589,7,14,0,0
"1957",4,61,1167,20132013,9.08571428571429,NA,1,2,0,0
"1958",4,61,1168,20132013,9.27142857142857,NA,1,10,50,0
"1959",4,61,1169,20062014,7.21367346938776,1.67949171472356,7,14,0,0
"1960",4,61,1204,20062014,7.77857142857143,1.41923472719785,7,32,14.2857142857143,7.14285714285714
"1961",4,61,1210,20062007,7.52035714285714,0.254053364954881,2,5,0,0
"1962",4,61,1247,20062014,7.26520408163265,0.248305383860344,7,18,0,0
"1963",4,61,1248,20062014,6.84169642857143,1.403068998587,8,31,6.25,0
"1964",4,61,1249,20062014,6.71428571428571,1.62898312017986,8,19,0,0
"1965",5,61,1053,20062014,25.7841666576458,8.80367090288498,9,153,33.3333333333333,0
"1966",5,61,1091,20062014,15.8270493292716,2.33318945745958,9,193,61.1111111111111,100
"1967",5,61,1092,20062014,31.5993444055944,7.53766099949437,9,129,27.7777777777778,100
"1968",5,61,1130,20062014,13.4979551274701,1.90014826109871,9,166,50,100
"1969",5,61,1131,20062014,28.7612907541184,3.28213196259754,9,166,50,100
"1970",5,61,1208,20062014,24.6922620207927,3.84142640944784,9,154,50,100
"1971",5,61,1210,20062007,32.9166666666667,8.50885160027812,2,6,0,0
"1972",5,61,1247,20062014,16.8218148926237,4.31827509061055,9,133,44.4444444444444,0
"1973",5,61,1248,20062014,26.8,6.17413961617325,8,11,0,0
"1974",5,61,1249,20062014,23.15625,2.26296857815443,8,24,0,0
"1975",6,61,1052,20082014,0.0153333333333333,0.00449279258203461,7,39,0,0
"1976",6,61,1053,20062014,0.738127691752692,0.13393600322509,9,161,33.3333333333333,0
"1977",6,61,1090,20082014,0.0133333333333333,0.00292657048690354,7,28,0,0
"1978",6,61,1091,20062014,0.747960650312919,0.213867476419206,9,207,66.6666666666667,100
"1979",6,61,1092,20062014,1.33615404167365,0.418881938289399,9,141,38.8888888888889,100
"1980",6,61,1129,20082014,0.011547619047619,0.00290388355182154,7,17,0,0
"1981",6,61,1130,20062014,1.73572737399053,2.81845194308073,9,175,50,100
"1982",6,61,1131,20062014,0.852492626768943,0.158933747556615,9,180,50,100
"1983",6,61,1166,20082014,0.04,0.0122474487139159,5,6,0,0
"1984",6,61,1167,20082014,0.0161904761904762,0.00698638131005772,7,14,0,0
"1985",6,61,1168,20082014,0.0180952380952381,0.014638501094228,7,17,0,0
"1986",6,61,1169,20082014,0.0157142857142857,0.00986516236923795,7,23,0,0
"1987",6,61,1203,20082014,0.0108333333333333,0.00204124145231931,6,11,0,0
"1988",6,61,1204,20082014,0.01375,0.00344601218802256,6,19,0,0
"1989",6,61,1205,20082014,0.0177380952380952,0.00562555111938603,7,19,0,0
"1990",6,61,1206,20082014,0.014047619047619,0.0055990361982404,7,18,0,0
"1991",6,61,1207,20082014,0.0121428571428571,0.00393397896234722,7,13,0,0
"1992",6,61,1208,20062014,0.82592151675485,0.204732933699267,9,163,50,100
"1993",6,61,1209,20082014,0.01,0,5,5,0,0
"1994",6,61,1210,20062007,1.28666666666667,0.103708994574027,2,6,0,0
"1995",6,61,1241,20082013,0.0133333333333333,0.0074535599249993,5,8,0,0
"1996",6,61,1242,20082014,0.01,0,6,9,0,0
"1997",6,61,1243,20092012,0.0166666666666667,0.0115470053837925,3,4,0,0
"1998",6,61,1247,20062014,1.35896412873141,1.88117704352758,9,153,50,0
