UnitID,Code.x,Description,IndicatorID,CategoryID,Name,Code.y,Parameters,Units,YearMin,YearMax,MonthMin,MonthMax,DepthMin,DepthMax,Metric,Response,Applied,Comments,ACDEV,GTC_HM,GTC_ML,STC_HM,STC_ML,GSC_HM,GSC_ML,SSC_HM,SSC_ML,IW,ET,EQR_HG,EQR_GM,EQR_MP,EQR_PB,W,Thres,Period,ES,SD,N,NM,GridArea,EQR,EQRS,GTC,NMP,STC,NG,GSC,UnitArea,SSC,C,SE,CI,BEST,EQRS_Class
1,ADPM,Adour plume,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2001,2006,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.7,0.808333333333333,0.666666666666667,0.525,0.383333333333333,TRUE,1,2001,1.53,,1,1,69974595.4116092,0.740740740740741,0.704575163398693,0,8,0,2.8320572388819,0,283205723.888189,0,0,,,1.13333333333333,Good
1,ADPM,Adour plume,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2001,2006,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.7,0.808333333333333,0.666666666666667,0.525,0.383333333333333,TRUE,1,2006,0.8,,1,1,69974595.4116092,1,1,0,8,0,2.8320572388819,0,283205723.888189,0,0,,,1.13333333333333,High
1,ADPM,Adour plume,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2001,2006,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,1.7,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2001,1.53,,1,1,69974595.4116092,0.740740740740741,0.704575163398693,0,8,0,,0,,0,,,,1.13333333333333,Good
1,ADPM,Adour plume,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2001,2006,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,1.7,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2006,0.8,,1,1,69974595.4116092,1,1,0,8,0,,0,,0,,,,1.13333333333333,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2001,2006,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.6,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2001,6.87242424242424,1.98231088363908,33,1,7181229210.27066,1,1,100,4,0,60.3613568898474,50,217300884803.446,0,37.5,0.345076031999359,0.676336594646734,7.73333333333333,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2001,2006,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.6,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2002,7.76135135135135,1.76773420915992,37,1,25740654982.9125,0.99639005931446,0.99623310537161,100,4,0,60.3613568898474,50,217300884803.446,0,37.5,0.290613713810927,0.569592412482847,7.73333333333333,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2001,2006,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.6,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2003,8.49928205128205,2.59118742168017,65,2,18564903776.8501,0.909880774243375,0.905962547036565,100,4,0,60.3613568898474,100,217300884803.446,0,50,0.321397244118995,0.629927023203657,7.73333333333333,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2001,2006,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.6,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2004,8.88571895424837,3.39662185370125,102,1,13135686087.7853,0.87031036803566,0.864671688385036,100,4,0,60.3613568898474,100,217300884803.446,0,50,0.336315678286317,0.659166616877341,7.73333333333333,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2001,2006,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.6,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2005,8.39006060606061,2.60259581787038,110,1,21885388610.3858,0.921725562714901,0.918322326311201,100,4,0,60.3613568898474,100,217300884803.446,0,50,0.248147774726644,0.48636070130798,7.73333333333333,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2001,2006,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.6,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1,2006,8.84137931034483,2.56621050224433,116,1,27378278692.4605,0.87467498699948,0.869226073390762,100,4,0,60.3613568898474,100,217300884803.446,0,50,0.238266663523881,0.466994079223331,7.73333333333333,High
